Repository,User,EventType,Comment
mate-desktop/mate-settings-daemon,monsta,IssueCommentEvent,"Interesting, I get m-s-d segfault not after the click on that icon, but after its settings dialog shows up and I click on any checkbox in it."
bp74/StageXL,bp74,IssueCommentEvent,"Yes as Nils says, the problem is probably the _game variable because it is null. The exception you get basically says ""The null object has no property parent"". Every object you add to the display list has to be an instance of a display object (like Sprite). You can't add a ""null"" to the display list."
docopt/docopt,keleshev,IssueCommentEvent,"Oh, didn't notice this is JS. This issue should be moved to docopt/docopt.coffee repo. /cc @sonwell "
nanoc/nanoc,ddfreyne,IssueCommentEvent,"Version number fixed (>= 1.7.10, < 2.0)."
filipre/facebook-logger,filipre,IssueCommentEvent,Not sure about the design...
SoCo/SoCo,DPH,IssueCommentEvent,"Version 0.10 of SoCo has all the stuff you need (snapshot, whole lot of fixes etc.)
It can be installed as any other Python package: https://pypi.python.org/pypi/soco/

The speaking bit needs to  either be in you own code, based on the examples out there, or be made into a plugin for general use. 

Hope this helps, Cheers David"
sparkle-project/Sparkle,jakepetroules,IssueCommentEvent,We could use unsafe_unretained only if `MAC_OS_X_VERSION_MIN_REQUIRED < 1080`?
bp74/StageXL,bp74,IssueCommentEvent,I will close this issue. If the answer from Nils and my answer don't help please reopen this issue.
rino0601/ProjectCH,rino0601,IssueCommentEvent," * 해본것
  * 모델의 upload_to를 고쳐 봄
   * unit/unit/... 이렇게 됨. 그리고 코드 모양이 이쁘지가 않음.
  * url 바인딩 해보기
   * 하다가 관둠.
 * 해볼 것
  * json으로 오는 요청 말고. header통한 접근...을 해야할지도"
bldr-io/bldr,WouterJ,PullRequestReviewCommentEvent,can these dev requirements be removed?
tgstation/-tg-station,Steelpoint,IssueCommentEvent,"So this is a random thing you cannot control?

On the one hand that stops everyone for going to the ""meta"" choice, on the other hand its pretty random.

"
brson/rust-sdl,lifthrasiir,IssueCommentEvent,"Sorry for late merger, I was on the vacation."
aphyr/riemann-java-client,lassic,IssueCommentEvent,Working on it now.
lervag/vim-latex,lervag,IssueCommentEvent,"No, sorry, `g:latex_viewer=mupdf` only enables forward search from vim to mupdf.

I don't really see that your suggested link provides inverse search with mupdf, but then I might not quite understand how it works... for forward search, I am using the same basic idea with synctex and xdotools.

As for your second link, I don't really see how it relates, as it is not about mupdf at all, but rather about evince.

One possibility for inverse search with mupdf is to read the title line of the document and fetch the page number, which may be inversely search with synctex to find the corresponding editor line of the first line on that page. However, I think inverse search is only interesting if it really works fully, and so I am not interested in implementing this hack."
chibisov/drf-extensions,chibisov,IssueCommentEvent,Could you write some failing tests? I need more understanding how you see behaviour of nested routers with usage of `get_lookup_regex`
jgaskins/perpetuity-postgres,alaibe,IssueCommentEvent,"Indeed your gist is working well (of course). I don't know what I am doing wrong my code is 'similar to yours' but I have only one table. At least I know it is working so the issue is on my side (of course again :) )

Thanks a lot for the help.
However I have one more question, is it possible to change the name of the table in the mapper. Instead of having a table Customer::User, I would like a table User. But I want to keep my entity under the namespace Customer. Is it possible?"
jhollingworth/marty,KidkArolis,IssueCommentEvent,"DataSource
Connector
Storage
Persistance

Actually, Ember Data uses ""adapters"". They have stores and adapters.
https://github.com/emberjs/data/blob/master/README.md"
victorjonsson/jQuery-Form-Validator,victorjonsson,IssueCommentEvent,"This is possible to achieve with version 2.2 (not yet released) with some custom code, using `$('form').isValid(conf, lang, displayErrors)`

```js

var errors = [] 
    conf = {
       onElementValidate : function(valid, $el, $form, errorMess) {
          if( !valid ) {
             errors.push({el: $el, error: errorMess});
          }
       }
   },
   lang = {
       ...
   }

$('#myform').on('submit', function() {
   // reset error arr
   errors = [];
   if( !$(this).isValid(conf, lang, false) ) {
        // Use errors array with your own message system
        ...
        return false;
   }
});

```"
symfony/symfony,ninsky,IssueCommentEvent,">Using $event->getData() within an event for an embedded form neither works.

That's still a bug in Symfony 2.6.1. I noticed, that the listener gets called twice within a subform. In the first listener request getData() does return the data. In the second call getData() returns null.If the second call could be omitted, the problem would be solved. 

I recognized this behaviour with the help of the web debug bar. There you can see, that a dump($event->getData()) behaves like that,"
tgstation/-tg-station,RemieRichards,PullRequestReviewCommentEvent,you should add a check that the overmind exists.
creocoder/yii2-nested-sets,mobius77,IssueCommentEvent,And how now i must move node as first?
alamkanak/Android-Week-View,caske33,IssueCommentEvent,See #37 
FortAwesome/Font-Awesome,Fale,IssueCommentEvent,+1
tgstation/-tg-station,Razharas,IssueCommentEvent,Stamina blob a shite
appirio-tech/lc1-challenge-service,mul1sh,IssueCommentEvent,"Hi @countcain, wooww dude!! I did not copy your submission. I too actually spent the whole night after my first submission trying to figure out why the swagger tests wouldn't pass by pushing all my tests to my wercker & travs-ci environments and also going through the docs until I finally figured out the same issues and made the necessary modifications and pushed my submission 2 hours later. I changed swagger version to 2.0 because that's the latest spec version based on this https://github.com/swagger-api/swagger-spec/blob/master/versions/2.0.md and finally I was unable to solve the first error because one can't set the Oauth vars in  travis-ci so it will always fail.

Anyway its ok you can be reviewed first I don't mind at all its a F2F competition, but i think it's not fair to accuse me of cheating just because our submissions look the same in some files that's very unethical and goes against the spirit of good sportsmanship. Thats all from me, have a good day.

Thanks,



"
zz85/mrdoobapproves,zz85,IssueCommentEvent,"Happy new year all! I'm actually pretty satisfied with where things are right now - given this was started 3 days ago, we already have 14 PRs merged, thanks largely to the efforts of @gero3 (and probably this ""PR-driven-development"").

There are only a couple more checkboxes here to strike off, and I think we should stamp a v1.0 for the new year and probably move on to do other greater stuff. Just before we do that, there's just a couple more things

1. adding the browse/open file feature
2. getting #19 and #20 resolved
3. bundling / minifying the js file to make loads faster
4. blog about this

i'll work on 1,2,4 and we should soon be able to give ourselves a pat on the back and call it a day (until #22). :grinning:  "
tgstation/-tg-station,RemieRichards,PullRequestReviewCommentEvent,"you only need the blob_reagent_datum var, the rest can be obtained using that without separate vars."
dawenl/deep_tagging,dawenl,IssueCommentEvent,"I don't have any license particularly in mind -- this repo is kine of a hackday project. If you find anything useful, feel free to use it. "
keybase/keybase-issues,Fale,IssueCommentEvent,"Please, do contact the Font Awesome authors and get keybase icon in it :)"
prahladyeri/hotspotd,prahladyeri,IssueCommentEvent,"> A typo ? :P 

Yup. Sorry abt that. I've fixed it and rebuilt.
Please test and confirm whether its working."
Fuco1/smartparens,Fuco1,IssueCommentEvent,"This patch should fix it, please test :)"
nanoc/nanoc,ddfreyne,IssueCommentEvent,Odd… should not happen! This is done by the `#write_stack_trace` method in `Nanoc::CLI::ErrorHandler`.
limodou/uliweb,limodou,IssueCommentEvent,"你可以试一下：

```
from uliweb.utils import date
print date.now()
```

看生成的时间是不是带tzinfo的信息。另外检查你是不是设置了TIMEZONE？如在uliweb shell下执行：

```
>>> print settings.GLOBAL.TIME_ZONE
```

有没有设置，缺省为None

另外我看你使用了stackless，这个我没有试过，因为生成日期的代码是在uliweb.utils.date中，为：

```
def now(tzinfo=None):
    tz = pick_timezone(tzinfo, __timezone__)
    return datetime.now(tz)
```

所以不太确定是不是这块有问题"
bp74/StageXL,bp74,IssueCommentEvent,Sorry for this issue and I will correct it asap! Thanks for the report
PocketMine/PocketMine-MP,Creeperface01,IssueCommentEvent,what version of MC(PC) are the maps?
QupZilla/qupzilla,JHooverman,IssueCommentEvent,"Happy New Year!

This is the result with QtTestBrowser compiled against Qt-5.4.1 + qtwebkit 538.1

![out1](http://i.imgur.com/oiRi1hc.png)

So, outlook.com works here.

Could you please download [QtTestBrowser](http://cloud.qupzilla.com/public.php?service=files&t=15d78bb1cf2b813aa5a496c0a8b063a7) and compile it on your system (I really hope, that this can be easily done on BSD)? Then please try to reproduce your issue with QtTestBrowser.
"
tgstation/-tg-station,RemieRichards,PullRequestReviewCommentEvent,"why not just do ```for(var/mob/living/L in T) blob_reagent_datum.reaction_mob(L, TOUCH)```"
DarkholmeTenk/TardisModIssues,Jwtc2000,IssueCommentEvent,Added in Build #89 ?
tchwork/jsqueeze,nicolas-grekas,IssueCommentEvent,Cherry-picked in 70a8167 thank you @AdamWill 
LMMS/lmms,musikBear,IssueCommentEvent,"A quite simple idea, could be to not have dragging at all, but to simply only add empty instruments through a context-menu
* Open as new in BB
* Open as new in SE
* Send to active instrument in BB
* Send to active  instrument in SE

Problem fix, and consistent with context in *Presets*
"
cachethq/Cachet,jbrooksuk,IssueCommentEvent,Views are cleaned (for the dashboard at least).
bldr-io/bldr,WouterJ,PullRequestReviewCommentEvent,do you want these blocks to be part of core?
tchwork/jsqueeze,nicolas-grekas,IssueCommentEvent,"Since you made a PR, I merged it, thanks again."
diydrones/ardupilot,tridge,IssueCommentEvent,"this is implemented in master now
"
teamed/qulice,davvd,IssueCommentEvent,"@alevohin this task is yours, please help (see our key [principles of work](http://www.xdsd.org/2014/04/17/how-xdsd-is-different.html)). If you have any technical questions, don't hesitate to ask right here

The cost of this task is **30 mins** (this is exactly how much will be paid, not less not more), when the task is [done](http://www.xdsd.org/2014/04/15/definition-of-done.html)"
teamed/qulice,davvd,IssueCommentEvent,"@alexdag please pick this up, and keep in mind [these instructions](http://www.xdsd.org/2014/04/17/how-xdsd-is-different.html). Any technical questions - ask right here

The cost of this task is **30 mins** (this is exactly how much will be paid, not less not more), when the task is [done](http://www.xdsd.org/2014/04/15/definition-of-done.html)"
tmskst/flatomo,tmskst,IssueCommentEvent,:see_no_evil: 
culvertsoft/mgen,GiGurra,IssueCommentEvent,"I just tested downloading 0.1 on my computer and MGEN_INSTALL_PATH  works for me :/.
Also checked the code and not seeing anything wrong right now..

Sry I cannot explain why the environment variable is not working for you :(.
In addition to setting MGEN_INSTALL_PATH to E:/mgen-0.1, can you try setting MGEN_PLUGIN_PATH to E:/mgen-0.1/jars ?"
ethereum/node-ethereum,Latrasis,IssueCommentEvent,I'm getting an strange self.settings.path: /Users/username/.ethereum/node 
spring-projects/spring-boot,snicoll,IssueCommentEvent,Spring Boot support in IDEA is coming later this year Chris.
cachethq/Cachet,GrahamCampbell,IssueCommentEvent,"Yeh, that will be possible in the future, but now right now. Using a custom version of phpcsfixer, and its changing quite frequently. In a few weeks, I'll be able to give you config file  that'll with the 1.5 release when it's done."
symfony/symfony-docs,WouterJ,IssueCommentEvent,"I'm pretty sure we already had a PR for it, can't find it though..."
nijel/weblate,ppawel,IssueCommentEvent,This still happens when `/dev/log` is not present - even if I set `DEFAULT_LOG` to `console`.
ktoso/akka-raft,bradegler,IssueCommentEvent,"This issue boils down to naming. In my usage I had named the RaftActor ""raft-member-something-unique"". If you instead name the ClusterRaftActor that and name the RaftActor something else the issue goes away. I'm not sure how I got those reversed but that caused the original issue. Sorry for the confusion."
orientechnologies/orientdb,laa,IssueCommentEvent,"Hi,
I do not think that reindex itself should be used in production at all.
Because it leads to errors in query results.

I think we should resolve root of this problem instead of reindex problem.
So my question is why do you have reindex, is it because of server crash ?
"
deniskr/KeychainSwiftAPI,deniskr,IssueCommentEvent,"Yurii, thanks a lot for your contribution."
teamed/qulice,davvd,IssueCommentEvent,"@alevohin many thanks for the bug report, I added 15 mins to your acc, transaction `49703778`"
IMA-WorldHealth/bhima,jmcameron,IssueCommentEvent,"The first part is done (normalizing names before saving them to the database).  The second part, making a script that will scrub the old entries in the database, has not been done yet.   I plan to do that after I get the patient edit form working."
harishnavnit/ClothingStore,harishnavnit,IssueCommentEvent,Fixed in https://github.com/harishnavnit/ClothingStore/commit/2ddae6bc8ad31427ba1a67dfd0977965734a4789
airdcpp/airgit,Xon,IssueCommentEvent,"Ah true. 

From a usability perspective, it would be nice to just issue a manual refresh and the app fix it's internal state up vs having to restart the entire application.

Sadly, actually detecting this error is very much a manual thing for a host of reasons."
jawordpressorg/wapuu,shield-9,IssueCommentEvent,"master宛になっていますねー。
手順としては
1. `shinchaya:gh-pages`で作業する。
2. `shinchaya:gh-pages`から`jawordpressorg:gh-pages`宛にPR(Pull Request)を出す。
って感じです。"
harishnavnit/ClothingStore,harishnavnit,IssueCommentEvent,Closed in https://github.com/harishnavnit/ClothingStore/commit/2ddae6bc8ad31427ba1a67dfd0977965734a4789
cachethq/Cachet,GrahamCampbell,IssueCommentEvent,"Also, we don't need the double constructor here."
OpenELEC/OpenELEC.tv,stefansaraev,IssueCommentEvent,"that's because your old hardware is not even supported by nvidia-legacy driver ;)
"
substack/tape,Raynos,IssueCommentEvent,lgtm :)
capacity4dev/capacity4more,HelenaEksler,IssueCommentEvent,"@amitaibu PR is ready.

1. Widget is moved from content_discussion to the own module.
2. Created new view mode for documents in the library.

Here is the workflow:
![doc_widget5](https://cloud.githubusercontent.com/assets/8306902/5592024/bd7bbe36-91b4-11e4-92fa-a0a906a963b9.gif)
"
brucemiller/LaTeXML,r-gaia-cs,IssueCommentEvent,"> Would you be happy with us adding ""Brazilian"" to the language list that treats
> comma as a floating-point separator (currently only German) in #548 and close
> here?

Yes."
terry2sticks/dojo_rules,codeschool-kiddo,PullRequestReviewCommentEvent,Awesome job! Go ahead and merge this back into master.
glasklart/hd,dreamnet,IssueCommentEvent,@dominicPereira I have updated the original issue above. What's the exact problem? 
tgstation/-tg-station,Razharas,IssueCommentEvent,"Things to concider:
* Does brute damage get reduced by armour? If yes then brute blob too weak since other things dont
* Maybe adjust bliblings and blobernaughts to the type of blob?
* Pure stamina damage is just too bad
* Different types dont really change much of anything since apart from brute other damage doesnt get cut by armour
* Those that do act differently namely acid are too OP since they do same damage but also kill items on you"
elliotwoods/ofxKinectForWindows2,elliotwoods,IssueCommentEvent,"Can you double check that your baseimage.h looks exactly like :
https://github.com/elliotwoods/ofxKinectForWindows2/blob/0.8.4/src/ofxKinectForWindows2/Source/BaseImage.h

If not, please post your file

-- 
Typed by touchscreen

Elliot Woods
elliot@KimchiAndChips.com

UK : +447944977628
KR : +821034458086



> On 1 Jan 2015, at 03:28, dfamil <notifications@github.com> wrote:
> 
> hi elliot
> 
> i used the 0.84version still got the baseimage.h errors using kinect 1409 bulid 
> Error 6 error C3668: 'ofxKinectForWindows2::Source::BaseImage::draw' : method with override specifier 'override' did not override any base class methods c:\users\david\google drive\openframeworks\of_v0.8.4_vs_release\addons\ofxkinectforwindows2\src\ofxkinectforwindows2\source\baseimage.h 36 1 myKInectSketch1a
> 
> —
> Reply to this email directly or view it on GitHub.
> "
HubSpot/Singularity,wsorenson,IssueCommentEvent,"Great. Should be easy to make the API / taskBuilder change. We can open another issue for processing the field in the UI.
"
sdbg/sdbg,ivmarkov,IssueCommentEvent,"0. *Most important*: from where do you trigger your SDBG Debug configuration? Via the ""Debug"" button, or via the ""Run"" button?
1. Have you selected your project in the SDBG debug configuration?
2. Is your breakpoint set, by any chance, in the onModuleLoad() method? It is a known restriction that due to a racing issue, breakpoints set in the onModuleLoad() method do not terigger"
dawenl/deep_tagging,dawenl,IssueCommentEvent,"FYI, I just added a GNU GLP v3 so hopefully this issue is resolved. "
RigsOfRods/ror-server,Hiradur,IssueCommentEvent,"I should do this as well, if only it wouldn't be so annoying to set everything up under Windows..."
nodemcu/nodemcu-firmware,vowstar,IssueCommentEvent,"Hi!
please try this code by ThomasW.
http://www.esp8266.com/viewtopic.php?f=19&t=938"
xpressengine/xe-core,YJSoft,IssueCommentEvent,:+1:
to-sho-kan/bookshelf_proto,toku345,IssueCommentEvent,"確認しました！
問題なさそうなのでマージしちゃいま〜す"
brucemiller/LaTeXML,dginev,IssueCommentEvent,Deal :+1: 
mono/monodevelop,Mailaender,IssueCommentEvent,Filed it at https://github.com/monodevelop/LuaBinding/pull/1 and removed them here to avoid future confusion.
venomous0x/WhatsAPI,shishirtanwar,IssueCommentEvent,"Okay, got it to install.....turns out if you have smorra's app installed it doesn't let wawp2 to get installed and vice-versa.
Anyway, on clicking extract button it says - ""Can't access WA files. Are you root?""
But it is rooted and I already gave it SuperUser Access.
All other rooted apps are working fine."
royopa/trello-control-doc-pt-br,royopa,IssueCommentEvent,"@alexandrecruz Por favor, veja se o seu php.ini está setado com um tempo alto no max_execution_time. Essa página está demorando mais de 60 segundos para rodar, devido a quantidade de arquivos faltantes (mais de 9000) ou do método que estamos utilizando para fazer o crawler da página"
eclipse/smarthome,kaikreuzer,IssueCommentEvent,"This is a very wide-reaching change that can have impact on many areas (DSL parsing, REST API, MQTT events etc.) ChannelGroups are not items, so there should not be the need for this change. In openHAB 2, ""#""s are mapped to ""_"" for dynamic item creation, isn't that solving the issue?"
melolemo/try_git,melolemo,IssueCommentEvent,いいですか？
SynoCommunity/spksrc,Dr-Bean,IssueCommentEvent,"@gwgr: Thanks for the info. The Flexget package for Avoton is on the server, but not visible in the catalog for some reason. We'll look into it."
Gizra/generator-hedley,amitaibu,IssueCommentEvent,"Merged!
https://github.com/Gizra/generator-hedley/commit/2e8b894251705a417dcfa5e5d540d91e1c636b4a"
bitovi/canjs,whitecolor,IssueCommentEvent,"> Oh, so you had a can.Map that had an attribute called watch?
Yes."
sindresorhus/trash,kevva,IssueCommentEvent,You can close this. I've partially fixed it for people having the home partition on `/home`. If it's something else it won't work though.
opensourcehk/2015.opensource.hk,sammyfung,IssueCommentEvent,Good! 
bitcoin/bitcoin,laanwj,IssueCommentEvent,This is a duplicate of #2710
n3wm1nd/TA,nixtux,IssueCommentEvent,"Fixed yesterday
https://github.com/n3wm1nd/TA/commit/1cfc595c7224ea33abfa735fc8f43dc172f41eff"
official-stockfish/Stockfish,mcostalba,IssueCommentEvent,"Regression passed:

LLR: 3.91 (-2.94,2.94) [-3.00,1.00]
Total: 65744 W: 13285 L: 13194 D: 39265

Please review for applying. Thanks.
"
brucemiller/LaTeXML,dginev,IssueCommentEvent,"We should also consider Brazilian among the languages where commas are used for a decimal separator, as indicated by the now closed #573."
FelisCatus/SwitchyOmega,FelisCatus,IssueCommentEvent,此功能无法在 PAC 脚本中实现，因此无法支持。
tehbeard/BeardStat,d00ba,IssueCommentEvent,"Build #163

- Plugin is now operating as expected in sqlite mode
- cannot launch server in mysql mode still - http://pastebin.com/pENV3nLd

config is as follows:-

stats:
  configversion: 6
  database:
    sql_db_version: 7
    type: mysql
    host: localhost
    username: 19170
    password: pass123
    database: 19170
    prefix: bdstats
    port: 3306
    backups: true
    uuidUpdate: true

"
PingvinOpenTag/LTAscetic,PingvinOpenTag,IssueCommentEvent,"Generating SSH keys 
https://help.github.com/articles/generating-ssh-keys/
and send me the key.
I'll add it to the server, and you will have access, if I understand correctly the server.

 >> Your yadi.sk version or release 3_1 ?

Yes.
"
EventedMind/iron-router,dburles,IssueCommentEvent,Here's the issue @tmeasday opened with some reasoning behind the choice https://github.com/EventedMind/iron-url/issues/1
nvkzNemo/UberSplash,nvkzNemo,IssueCommentEvent,You need to create folder and key too. 
FelisCatus/SwitchyOmega,FelisCatus,IssueCommentEvent,You can just set the color to white if you like in the profile settings. Just click on the color picker in the top-left corner and you are good to go.
skinny-framework/skinny-framework,seratch,IssueCommentEvent,"This seems to be a bug. I just took a look at this issue and figured out the reason(my silly mistake). 
I'll fix this issue later and release 1.3.9 as soon as possible.
As far as this case, using #joins instead will work as expected (right, I guess you're just evaluating skinny's eager loading feature). 
Thank you for your report!"
ceLoFaN/hidenseek-csgo,ceLoFaN,IssueCommentEvent,Done in https://github.com/ceLoFaN/hidenseek-csgo/commit/a61b51c5740ab14b5533e01f77a83a57abc7ca72.
kenjij/lita-slack,legh,IssueCommentEvent,"Hi, I've made a change to be closer to hubot but it's a bit complicated because lack of channels mapping.
And in this case it's not fix #9 , e.g. we put 
> whois  google.com

and get

> whois http://google.com

the problim is in https://github.com/legh/lita-slack/commit/aed412a2f5005eea981edc15a039334a656debc1#diff-31e69e8d557842a5aeffa1436b76396bR76
because after unformat we'v got not what a user put in a chat.
I'd prefer to use here clean label.

What do you think?"
LMMS/lmms,musikBear,IssueCommentEvent,"sorry i never saw the @me Q
I will look into this later, and report back
It went under the radar
.. HNY to all :tada: "
fritx/gulp-edit,fritx,IssueCommentEvent,"Hi @simevidas 
It's my pleasure you tried this and found me here :)
Your API is simple and your reasons make sense.
But I don't want to ignore async cases, such as:

```js
.pipe(edit(function(src, cb){
  someAsyncParser(src, cb)
}))
```

I think, a choice is to support both:
- edit(modifier(src))
- edit(modifier(src, cb))

Waiting for your reply :)
Thanks. Wish you a good time in the New Year!"
ProjectManagementSystem/pms,TanselKahyaoglu,IssueCommentEvent,okay. I will do it.
jawordpressorg/wapuu,shield-9,IssueCommentEvent,"shinchayaさんのレポジトリを見たところ、`gh-pages`にデータは正しく追加されているようなので出し方の問題かと思います。

(違うレポジトリのスクショですが、)Pull Requestを出す画面で、""Edit""を押して、
![1](https://cloud.githubusercontent.com/assets/3660715/5592028/4f425b64-91f0-11e4-9ffd-020e70c02b33.png)
""base""と""compare""というところでブランチを選ぶことができます。
![2](https://cloud.githubusercontent.com/assets/3660715/5592030/7fbe03e2-91f0-11e4-993f-8c98cefeb498.png)
"
owncloud/core,kounelii,IssueCommentEvent,"Seems the most reasonable idea, easy to employ, simple to use, effective..."
capacity4dev/capacity4more,nader77,IssueCommentEvent,"Update: Fixed the popup closing on ESC key press in both full form and quick post.
The only way was a duplicated code in each controller, The other option (Calling a service) required a big amount of code in each controller which means bigger duplicated code.

Workflow:
![popups](https://cloud.githubusercontent.com/assets/7369740/5592029/c9a97abc-91b5-11e4-934c-91c6f97b2f34.gif)
"
remy/nodemon,remy,IssueCommentEvent,"To confirm - *I am doing this for tests*, because if I can't test it, I can't say it works.

So, in your example, now change your simple script to read the command that you want to run (in node) from the CLI. It would read *something* like this (note, that I've not tested this, it could be wrong):

```bash
cat /tmp/mine.js 
var args = process.argv[2]; // get everything after the script
var cmd = args.split(' ').shift(); // assumes simple space split
var arg = args.split(' ').slice(1);·
require('child_process').spawn(cmd, arg, { stdio: ['pipe', process.stdout, process.stderr ] });
```

And run `/tmp/mine.js` with the echo command, *something* like this:

```bash
node /tmp/mine.js ""echo -e 'line1\nline2'""
```

This is the crux of the escape character bug. 

Also - **I am not running this through the `sh` solution** - I'm running this through the original spawn method. I'm *trying* and failing to support this case, because I can't capture what's passed through on the command line fully. The reason it worked when you checked out the earlier commit (prior to the `sh` change), is because there's a bug in the `parseExecutable` that's masking the real issue."
bitcoin/bitcoin,LaudaM,IssueCommentEvent,More than 1 year has passed and we still don't have this feature?
MightyPork/rpw,MightyPork,IssueCommentEvent,"I don't see how this could happen.

Can you reproduce it? What are the steps to get this crash?"
SynoCommunity/spksrc,Dr-Bean,IssueCommentEvent,"@gwgr, You do have the beta channel enabled, right?"
isagalaev/highlight.js,danelkhen,IssueCommentEvent,"I think I tried it, but I'll double check and get back to you. Thanks!"
angular/angular.js,techwan,IssueCommentEvent,"Hi Lucas,
That works (we missed the 'this'), thanks!

@frfancha you are right... but the reason is that these are property from a schema generated on server side ... and acts like a key to property collection member.
We do not use explicitly ""dotted properties""

Thanks"
monodevelop/LuaBinding,Therzok,IssueCommentEvent,"/cc @slluis.

I don't have merge rights here. -_-"
Berico-Technologies/Fallwizard,shlomisut,IssueCommentEvent,@jar349 what's you call here? make another PR?
jw2013/elixir-china,jw2013,IssueCommentEvent,"太牛逼了

我新开了个PR在你的基础上做了点小改动"
alexrj/Slic3r,alexrj,IssueCommentEvent,"@mikenew12, I have no idea off the top of my head... Actually, compilation works but a few tests are failing. You can force the install by doing `cd xs ; sudo ./Build install`, but still it would be important to understand why those tests are failing since some functionality of Slic3r might not work correctly.
Do you think there's a chance that I can get a shell on a 10.10 machine? Is there any VPS provider for that?"
PaxInstruments/t400-enclosure,charlespax,IssueCommentEvent,Probably just BL-5C.
ganymedes01/TheErebus,Bogdan-G,IssueCommentEvent,"But Biomes O' Plenty, Thaumcraft 4, ExtraBiomesXL, ReikaMods, Rediscovered, Buildcraft can using 127+ biomeID, why?"
jorgemanrubia/mailgun_rails,zedtux,IssueCommentEvent,Upgrading sqlite3 gem solved the issue.
scipy/scipy,rgommers,IssueCommentEvent,"OK, in this goes. Thanks @grlee77, all."
Libresfera/website,houndci,PullRequestReviewCommentEvent,Line is too long. [89/80]<br>Prefer double-quoted strings unless you need single quotes to avoid extra backslashes for escaping.
Libresfera/website,houndci,PullRequestReviewCommentEvent,Line is too long. [89/80]<br>Prefer double-quoted strings unless you need single quotes to avoid extra backslashes for escaping.
Libresfera/website,houndci,PullRequestReviewCommentEvent,Line is too long. [93/80]<br>Prefer double-quoted strings unless you need single quotes to avoid extra backslashes for escaping.
Libresfera/website,houndci,PullRequestReviewCommentEvent,Line is too long. [83/80]
Libresfera/website,houndci,PullRequestReviewCommentEvent,Keep a blank line before and after `private`.
Libresfera/website,houndci,PullRequestReviewCommentEvent,Line is too long. [88/80]
Libresfera/website,houndci,PullRequestReviewCommentEvent,Line is too long. [83/80]
Libresfera/website,houndci,PullRequestReviewCommentEvent,Inconsistent indentation detected.
Libresfera/website,houndci,PullRequestReviewCommentEvent,Inconsistent indentation detected.
Libresfera/website,houndci,PullRequestReviewCommentEvent,Line is too long. [143/80]
Libresfera/website,houndci,PullRequestReviewCommentEvent,Line is too long. [156/80]
Libresfera/website,houndci,PullRequestReviewCommentEvent,Prefer double-quoted strings unless you need single quotes to avoid extra backslashes for escaping.
Libresfera/website,houndci,PullRequestReviewCommentEvent,Prefer double-quoted strings unless you need single quotes to avoid extra backslashes for escaping.
Libresfera/website,houndci,PullRequestReviewCommentEvent,Prefer double-quoted strings unless you need single quotes to avoid extra backslashes for escaping.
Libresfera/website,houndci,PullRequestReviewCommentEvent,Prefer double-quoted strings unless you need single quotes to avoid extra backslashes for escaping.
pods-framework/pods,andre2,IssueCommentEvent,"Ok, a try this but this is my configuration:
<img src=""http://i.imgur.com/TaWET0P.png?1"">

and upload images process
<img src=""http://i.imgur.com/USg1dZ9.gif"">"
FelisCatus/SwitchyOmega,FelisCatus,IssueCommentEvent,Please upload the settings backup file to https://gist.github.com and paste the link here.
glasklart/hd,dominicPereira,IssueCommentEvent,once i added it to winterbored icon bundle and respring it does no show the glasklart icon. 
owncloud/core,mmattel,IssueCommentEvent,"Question: I made a PR in documentation to describe the background and a solution  (https://github.com/owncloud/documentation/issues/727, pls see also my reference above) including a note in the PR that the documentation part should get merged only after this PR is merged, especially because I reference to the new parameter ``tempdirectory`` which is introduced by this PR. But the documentation got merged yesterday, maybe because my note about the dependency was overseen.
Please advice how to proceed. 
"
i-rinat/freshplayerplugin,i-rinat,IssueCommentEvent,"Try to remove `CMakeCache.txt` from build directory, and then run `make` again."
rakudo/rakudo,moritz,IssueCommentEvent,"Merged in 1f3bb95f28a560f514094f1b5d7b9e587e1a4bd7 (and migrated the new `infix:<eqv>(Range, Range)` too)"
nodemcu/nodemcu-firmware,vowstar,IssueCommentEvent,"Hi,
We will consider detect some pin at start before run INIT.LUA, Such as GPIO4 ,GPIO16 or other pins. Imagine some pin keep in LOW level for more than 5 seconds, revert to the default settings and format the file system."
iwongu/sqlite3pp,peterritter,IssueCommentEvent,"Hello Wongoo

Thanks for the reply!   C++11 is great! There are some really wonderful
additions like <chrono>, <thread>, <memory> (for managed pointers).
<functional> for function pointer abstraction as well as the addition of
lambda functions to the language itself!
I think the only real work in your library is to get rid of the boost
iterator aspects.

Best Regards, Peter Ritter

On Thu, Jan 1, 2015 at 1:44 AM, Wongoo Lee <notifications@github.com> wrote:

> Peter,
> Thanks for your suggestion. I also think that it would be great if
> sqlite3pp can be used without any other 3rd party dependencies.
> IIRC, it's not using only header files from boost.
> Unfortunately, I'm using another programming languages, so I wasn't
> following what are in C++1x exactly. So, it might take some time but let me
> try as soon as possible.
>
> —
> Reply to this email directly or view it on GitHub
> <https://github.com/iwongu/sqlite3pp/issues/5#issuecomment-68478143>.
>"
IntellectualCrafters/PlotSquared,xion87,IssueCommentEvent,the debug clear work fine ....
QupZilla/qupzilla,nowrep,IssueCommentEvent,Because it stores only domain for saved passwords.
